1	58	1	1	1
1	4092	2	1	1
1	6735	3	1	1
1	10473	4	1	1
1	13178	5	1	1
1	18133	6	1	1
1	22640	7	1	1
1	32823	8	1	1
1	41408	9	1	1
1	49764	10	1	1
1	56789	11	1	1
1	60955	12	1	1
2	65944	1	1	1
2	0	2	0	0
2	0	14	0	0
2	66534	1	1	1
2	66746	3	1	1
2	67176	4	1	1
2	0	5	0	0
2	0	14	0	0
2	0	5	0	0
2	67527	9	1	1
2	67854	6	1	1
2	0	7	0	0
3	70390	1	1	1
3	0	2	0	0
3	70673	14	1	1
3	70900	3	1	1
3	0	4	0	0
3	71201	5	1	1
3	0	5	0	0
3	0	15	0	0
3	0	9	0	0
3	71492	11	1	1
3	71697	6	1	1
3	0	7	0	0
4	74014	1	1	1
4	0	2	0	0
4	0	14	0	0
4	74472	15	1	1
4	74633	3	1	1
4	0	4	0	0
4	74925	6	1	1
4	0	5	0	0
4	0	6	0	0
4	0	11	0	0
4	75259	6	1	1
4	0	6	0	0
5	77356	1	1	1
5	0	2	0	0
5	77686	14	1	1
5	77877	3	1	1
5	0	4	0	0
5	78181	7	1	1
5	0	5	0	0
5	78437	15	1	1
5	0	6	0	0
5	0	14	0	0
5	0	7	0	0
5	78797	14	1	1
6	80358	1	1	1
6	0	2	0	0
6	0	6	0	0
6	80704	14	1	1
6	80877	3	1	1
6	0	4	0	0
6	81186	14	1	1
6	81369	5	1	1
6	0	6	0	0
6	81632	6	1	1
6	0	7	0	0
6	0	6	0	0
7	0	1	0	0
7	83133	14	1	1
7	0	2	0	0
7	83375	15	1	1
7	83501	3	1	1
7	0	4	0	0
7	0	6	0	0
7	83812	14	1	1
7	0	5	0	0
7	0	15	0	0
7	83993	15	1	1
7	0	6	0	0
8	85589	1	1	1
8	0	2	0	0
8	0	6	0	0
8	0	13	0	0
8	0	7	0	0
8	0	15	0	0
8	85949	15	1	1
8	85993	3	1	1
8	0	4	0	0
8	86270	14	1	1
8	0	5	0	0
8	86477	14	1	1
9	87999	1	1	1
9	88311	2	1	1
9	88551	3	1	1
9	88891	4	1	1
9	89143	5	1	1
9	0	6	0	0
9	0	14	0	0
9	0	14	0	0
9	89501	5	1	1
9	0	7	0	0
9	89641	11	1	1
9	89787	8	1	1
10	0	1	0	0
10	90654	15	1	1
10	0	2	0	0
10	0	14	0	0
10	90876	14	1	1
10	91002	3	1	1
10	91282	4	1	1
10	0	5	0	0
10	0	14	0	0
10	0	14	0	0
10	91613	3	1	1
10	0	6	0	0
11	93053	1	1	1
11	0	2	0	0
11	93350	15	1	1
11	93479	3	1	1
11	0	4	0	0
11	0	15	0	0
11	0	7	0	0
11	93837	8	1	1
11	0	5	0	0
11	94003	6	1	1
11	0	6	0	0
11	94254	14	1	1
12	0	1	0	0
12	95500	6	1	1
12	0	2	0	0
12	0	6	0	0
12	0	14	0	0
12	95731	15	1	1
12	95883	3	1	1
12	0	4	0	0
12	96194	6	1	1
12	96360	5	1	1
12	0	6	0	0
12	0	6	0	0
13	0	1	0	0
13	0	7	0	0
13	0	5	0	0
13	0	10	0	0
13	98079	1	1	1
13	0	2	0	0
13	98159	7	1	1
13	0	3	0	0
13	98433	15	1	1
13	0	4	0	0
13	0	15	0	0
13	98668	7	1	1
14	0	1	0	0
14	0	15	0	0
14	0	11	0	0
14	100386	12	1	1
14	0	2	0	0
14	100513	15	1	1
14	0	3	0	0
14	100756	14	1	1
14	100977	4	1	1
14	101171	5	1	1
14	0	6	0	0
14	101426	6	1	1
15	102509	1	1	1
15	102773	2	1	1
15	102915	3	1	1
15	0	4	0	0
15	0	7	0	0
15	103284	14	1	1
15	0	5	0	0
15	0	15	0	0
15	0	7	0	0
15	103555	7	1	1
15	0	6	0	0
15	0	6	0	0
16	0	1	0	0
16	0	14	0	0
16	105006	15	1	1
16	0	2	0	0
16	105227	6	1	1
16	105275	3	1	1
16	0	4	0	0
16	105485	11	1	1
16	105583	5	1	1
16	105782	6	1	1
16	0	7	0	0
16	106023	14	1	1
17	0	1	0	0
17	0	15	0	0
