1	32	1	8
1	4066	2	8
1	6709	3	8
1	10447	4	8
1	13152	5	8
1	18107	6	8
1	22614	7	8
1	32797	8	8
1	41382	9	8
1	49738	10	8
1	56763	11	8
1	60929	12	8
2	65918	1	8
2	66472	2	8
2	66484	14	25
2	66508	1	15
2	66720	3	8
2	67150	4	8
2	67399	5	8
2	67411	14	17
2	67433	5	7
2	67483	9	27
2	67828	6	8
2	68192	7	8
3	70364	1	8
3	70635	2	8
3	70647	14	23
3	70874	3	8
3	71136	4	8
3	71148	5	30
3	71338	5	8
3	71350	15	2
3	71373	9	1
3	71385	11	22
3	71671	6	8
3	71914	7	8
4	73988	1	8
4	74368	2	8
4	74380	14	18
4	74446	15	15
4	74607	3	8
4	74886	4	8
4	74899	6	5
4	75131	5	8
4	75143	6	17
4	75176	11	17
4	75206	6	0
4	75406	6	8
5	77330	1	8
5	77648	2	8
5	77660	14	21
5	77851	3	8
5	78142	4	8
5	78155	7	5
5	78352	5	8
5	78366	15	0
5	78652	6	8
5	78664	14	21
5	78678	7	9
5	78726	14	25
6	80332	1	8
6	80653	2	8
6	80665	6	21
6	80678	14	21
6	80851	3	8
6	81146	4	8
6	81160	14	19
6	81343	5	8
6	81558	6	8
6	81570	6	17
6	81770	7	8
6	81783	6	17
7	83077	1	8
7	83089	14	18
7	83318	2	8
7	83331	15	3
7	83475	3	8
7	83761	4	8
7	83773	6	31
7	83786	14	19
7	83886	5	8
7	83898	15	2
7	83967	15	6
7	84104	6	8
8	85563	1	8
8	85826	2	8
8	85838	6	22
8	85886	13	10
8	85898	7	5
8	85910	15	5
8	85923	15	0
8	85967	3	8
8	86223	4	8
8	86235	14	27
8	86383	5	8
8	86397	14	4
9	87973	1	8
9	88285	2	8
9	88525	3	8
9	88865	4	8
9	89117	5	8
9	89373	6	8
9	89385	14	29
9	89398	14	4
9	89421	5	0
9	89599	7	8
9	89615	11	2
9	89761	8	8
10	90598	1	8
10	90610	15	1
10	90824	2	8
10	90838	14	29
10	90850	14	19
10	90976	3	8
10	91256	4	8
10	91468	5	8
10	91481	14	17
10	91511	14	30
10	91587	3	28
10	91685	6	8
11	93027	1	8
11	93265	2	8
11	93279	15	3
11	93453	3	8
11	93756	4	8
11	93768	15	5
11	93781	7	0
11	93811	8	11
11	93963	5	8
11	93977	6	29
11	94216	6	8
11	94228	14	31
12	95433	1	8
12	95447	6	25
12	95650	2	8
12	95662	6	18
12	95692	14	31
12	95705	15	0
12	95857	3	8
12	96138	4	8
12	96150	6	16
12	96334	5	8
12	96561	6	8
12	96575	6	26
13	97889	1	8
13	97903	7	8
13	97943	5	7
13	97992	10	13
13	98017	1	14
13	98121	2	8
13	98133	7	5
13	98395	3	8
13	98407	15	15
13	98617	4	8
13	98629	15	15
13	98642	7	11
14	100251	1	8
14	100263	15	2
14	100285	11	2
14	100306	12	17
14	100473	2	8
14	100487	15	3
14	100718	3	8
14	100730	14	30
14	100951	4	8
14	101145	5	8
14	101379	6	8
14	101391	6	25
15	102483	1	8
15	102747	2	8
15	102889	3	8
15	103223	4	8
15	103235	7	5
15	103249	14	16
15	103430	5	8
15	103442	15	7
15	103454	7	12
15	103484	7	2
15	103677	6	8
15	103690	6	12
16	104892	1	8
16	104905	14	17
16	104935	15	7
16	105117	2	8
16	105129	6	17
16	105249	3	8
16	105434	4	8
16	105450	11	23
16	105557	5	8
16	105756	6	8
16	105983	7	8
16	105997	14	0
17	106958	1	8
17	106970	15	1
17	107000	3	26
17	107045	15	11
17	107067	10	9
17	107315	2	8
17	107327	14	27
17	107404	15	24
17	107541	3	8
17	107554	12	28
17	107570	10	25
17	107601	6	29
18	109386	1	8
18	109398	6	16
18	109628	2	8
18	109640	5	24
18	109661	14	1
18	109838	3	8
18	109850	14	29
18	110123	4	8
18	110250	5	8
18	110476	6	8
18	110488	14	9
18	110679	7	8
19	111857	1	8
19	112146	2	8
19	112158	15	13
19	112172	14	31
19	112187	15	21
19	112226	12	18
19	112238	12	23
19	112328	3	8
19	112582	4	8
